Title,Service_Type,Rating,Description,More_Info_Link,Source_URL,Scrape_Timestamp
Search Agriculture Warehouses in Karnataka,Informational,3.0,"Search agriculture warehouses in Karnataka. Users need to select a category such as state, centre, private, rural godown to find a list of warehouses. Information such as warehouse name, capacity, address, phone numbers etc. is available.",https://services.india.gov.in/service/detail/search-agriculture-warehouses-in-karnataka-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
Search Office Bearers of Agricultural Market Committees of Karnataka,Informational,4.0,"Search details of office bearers of agricultural market committees of Karnataka. One can select a market and get information related to the members, contact numbers, emails etc. Users can search details of committees by the chairman or vice-chairman.",https://services.india.gov.in/service/detail/search-office-bearers-of-agricultural-market-committees-of-karnataka,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
Check state-wise implementation details of National Food Security Mission,Informational,4.0,"Check the state-wise coverage and implementation details of the National Food Security Mission. Users can click on a state in the map to check the implementation details. Information on the state action plan, fund status, budget, crops, agriculture climate region, agricultural institutions etc. is provided. Information related to target achievement of the programme is also provided.",https://services.india.gov.in/service/detail/check-state-wise-implementation-details-of-national-food-security-mission-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
"Agriculture schemes application registered, Gujarat",Partially Online,3.0,Farmers/Beneficiaries of Agriculture/Horticulture/Animal Husbandry/Fisheries etc can apply online on this portal. The workflow based application processing by respective nodal office.,https://services.india.gov.in/service/detail/agriculture-schemes-application-registered-gujarat,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
"Apply for Farmers Registration of Nursery/ Orchards, Jammu and Kashmir",Fully Online,3.0,"Farmers can register nurseries or orchards online in Jammu and Kashmir, paying fees digitally for hassle-free approval.",https://services.india.gov.in/service/detail/apply-for-farmers-registration-of-nursery-orchards-jammu-and-kashmir,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
"Application form to buy seeds and plants from the Forest Department, Himachal Pradesh",Informational,4.0,Users can fill the application form to buy seeds and plants from the Forest Department in Himachal Pradesh,https://services.india.gov.in/service/detail/application-form-to-buy-seeds-and-plants-from-the-forest-department-himachal-pradesh-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
"Application form for Grazing permit, Himachal Pradesh",Informational,4.0,Users can fill the application form for Grazing permit in Himachal Pradesh,https://services.india.gov.in/service/detail/application-form-for-grazing-permit-himachal-pradesh-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:40
"Application form for Soil Testing, Himachal Pradesh",Informational,4.0,Users can download the application form for Soil Testing in Himachal Pradesh,https://services.india.gov.in/service/detail/application-form-for-soil-testing-himachal-pradesh-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:41
"Application for Renewal of License for Raising Fruit Nursery, Himachal Pradesh",Informational,3.0,Application form for Renewal of License for Raising Fruit Nursery in Himachal Pradesh.,https://services.india.gov.in/service/detail/application-for-renewal-of-license-for-raising-fruit-nursery-himachal-pradesh-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:41
Send feedback to Department of Animal Husbandry of Rajathan,Fully Online,3.0,"Send feedback to the Department of Animal Husbandry of Rajathan. Users can fill up their personal details such as name, company, address, phone number etc. and submit the feedback online.",https://services.india.gov.in/service/detail/send-feedback-to-department-of-animal-husbandry-of-rajathan-1,https://services.india.gov.in/service/listing?cat_id=98&ln=en,2025-02-17 13:11:41
